Iso	Gene
TRINITY_DN11143_c0_g1	2-iminobutanoate/2-iminopropanoate deaminase OS=Rattus norvegicus OX=10116 GN=Rida PE=1 SV=3 E(blastx)=2e-28
TRINITY_DN6323_c0_g1	Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3 E(blastx)=3e-11
TRINITY_DN5231_c0_g1	Sorting nexin-25 OS=Homo sapiens OX=9606 GN=SNX25 PE=1 SV=2 E(blastx)=6e-06
TRINITY_DN363_c0_g1	Digestive cysteine proteinase 3 OS=Homarus americanus OX=6706 GN=LCP3 PE=2 SV=1 E(blastx)=9e-34
TRINITY_DN10300_c0_g1	Sterol regulatory element-binding protein cleavage-activating protein OS=Sus scrofa OX=9823 GN=SCAP PE=2 SV=2 E(blastx)=3e-14
TRINITY_DN986_c0_g1	Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1 E(blastx)=6e-07
TRINITY_DN13409_c0_g1	Helicase with zinc finger domain 2 OS=Mus musculus OX=10090 GN=Helz2 PE=1 SV=1 E(blastx)=6e-18
TRINITY_DN6493_c0_g1	Histone deacetylase 9 OS=Homo sapiens OX=9606 GN=HDAC9 PE=1 SV=2 E(blastx)=2e-20
TRINITY_DN4064_c0_g1	Tyrosine-protein kinase-like otk OS=Drosophila pseudoobscura pseudoobscura OX=46245 GN=otk PE=3 SV=2 E(blastx)=3e-13
TRINITY_DN6898_c0_g1	"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Homo sapiens OX=9606 GN=KHDRBS2 PE=1 SV=1 E(blastx)=8e-22"
TRINITY_DN6029_c0_g1	60S ribosomal protein L21 OS=Caenorhabditis elegans OX=6239 GN=rpl-21 PE=3 SV=3 E(blastx)=4e-35
TRINITY_DN1286_c0_g1_i2	Zinc finger protein 681 OS=Homo sapiens OX=9606 GN=ZNF681 PE=2 SV=2 E(blastx)=3e-07
TRINITY_DN1593_c0_g1	Mucin-like protein (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=3e-15
TRINITY_DN13260_c0_g1	Protein dispatched homolog 1 OS=Homo sapiens OX=9606 GN=DISP1 PE=1 SV=3 E(blastx)=1e-19
TRINITY_DN1247_c0_g1	Serine/arginine-rich splicing factor 1 OS=Gallus gallus OX=9031 GN=SRSF1 PE=1 SV=3 E(blastx)=8e-36
TRINITY_DN12760_c0_g1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Pongo abelii OX=9601 GN=PPIP5K1 PE=2 SV=1 E(blastx)=5e-16
TRINITY_DN12110_c0_g1	DBH-like monooxygenase protein 1 homolog OS=Danio rerio OX=7955 GN=moxd1 PE=2 SV=2 E(blastx)=4e-05
TRINITY_DN9174_c0_g1	Iron-sulfur cluster assembly protein 3 OS=Arabidopsis thaliana OX=3702 GN=ISU3 PE=2 SV=1 E(blastx)=9e-15
TRINITY_DN2052_c0_g1	RuvB-like 2 OS=Xenopus laevis OX=8355 GN=ruvbl2 PE=2 SV=1 E(blastx)=5e-41
TRINITY_DN6305_c0_g1	Protein Red OS=Rattus norvegicus OX=10116 GN=Ik PE=1 SV=1 E(blastx)=3e-28
TRINITY_DN4946_c0_g1	"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrc1 PE=1 SV=1 E(blastx)=5e-08"
TRINITY_DN6889_c0_g1	Aspartyl aminopeptidase OS=Homo sapiens OX=9606 GN=DNPEP PE=1 SV=1 E(blastx)=3e-27
TRINITY_DN7750_c0_g1	Protein TAR1 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=TAR1-A PE=4 SV=2 E(blastx)=5e-22
TRINITY_DN6297_c0_g1	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Ixodes scapularis OX=6945 GN=IscW_ISCW007295 PE=3 SV=1 E(blastx)=3e-44"
TRINITY_DN12534_c0_g1	Speract receptor OS=Strongylocentrotus purpuratus OX=7668 PE=2 SV=1 E(blastx)=7e-37
TRINITY_DN6674_c0_g1	Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4 E(blastx)=6e-11
TRINITY_DN11618_c0_g1	"Dynein beta chain, ciliary OS=Heliocidaris crassispina OX=1043166 PE=1 SV=1 E(blastx)=1e-45"
TRINITY_DN12358_c0_g1	Protein D3 (Fragment) OS=Onchocerca volvulus OX=6282 GN=D3 PE=2 SV=1 E(blastx)=3e-06
TRINITY_DN13123_c0_g1	Serine/arginine-rich splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=2 E(blastx)=4e-34
TRINITY_DN3645_c0_g1	Nuclear export mediator factor Nemf OS=Mus musculus OX=10090 GN=Nemf PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN11649_c0_g1	COP9 signalosome complex subunit 3 OS=Danio rerio OX=7955 GN=cops3 PE=2 SV=1 E(blastx)=6e-19
TRINITY_DN3411_c0_g1	Cytochrome c oxidase subunit 6C-2 OS=Rattus norvegicus OX=10116 GN=Cox6c2 PE=1 SV=3 E(blastx)=4e-09
TRINITY_DN11784_c0_g1	Collagen alpha-1(XXIV) chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2 E(blastx)=2e-07
TRINITY_DN10845_c0_g1	Electron transfer flavoprotein subunit beta OS=Rattus norvegicus OX=10116 GN=Etfb PE=1 SV=3 E(blastx)=9e-30
TRINITY_DN12467_c0_g1	Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3 E(blastx)=1e-24
TRINITY_DN5463_c0_g1	Ubiquitin carboxyl-terminal hydrolase 4 OS=Mus musculus OX=10090 GN=Usp4 PE=1 SV=3 E(blastx)=3e-32
TRINITY_DN1894_c0_g1	Serine/threonine-protein kinase MRCK beta OS=Homo sapiens OX=9606 GN=CDC42BPB PE=1 SV=2 E(blastx)=4e-24
TRINITY_DN9905_c0_g1	DBH-like monooxygenase protein 1 OS=Homo sapiens OX=9606 GN=MOXD1 PE=1 SV=1 E(blastx)=9e-05
TRINITY_DN11242_c0_g1	Kinesin light chain 3 OS=Homo sapiens OX=9606 GN=KLC3 PE=1 SV=2 E(blastx)=2e-05
TRINITY_DN11137_c0_g1	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit B, mitochondrial OS=Xenopus laevis OX=8355 GN=sdha-b PE=2 SV=1 E(blastx)=2e-10"
TRINITY_DN5875_c0_g1	"N,N'-diacetylchitobiase OS=Vibrio harveyi OX=669 GN=chb PE=1 SV=1 E(blastx)=3e-10"
TRINITY_DN12693_c0_g1	Zinc finger protein DZIP1L OS=Danio rerio OX=7955 GN=dzip1l PE=2 SV=1 E(blastx)=3e-07
TRINITY_DN5292_c0_g1	Putative transcription elongation factor S-II OS=Caenorhabditis elegans OX=6239 GN=T24H10.1 PE=3 SV=1 E(blastx)=3e-29
TRINITY_DN14762_c0_g1	Guanine nucleotide-binding protein-like 3 homolog OS=Caenorhabditis elegans OX=6239 GN=nst-1 PE=3 SV=1 E(blastx)=6e-27
TRINITY_DN13909_c0_g1	THO complex subunit 2 OS=Plecturocebus moloch OX=9523 GN=THOC2 PE=3 SV=1 E(blastx)=1e-26
TRINITY_DN775_c0_g1	Transmembrane protein 26 OS=Homo sapiens OX=9606 GN=TMEM26 PE=1 SV=1 E(blastx)=4e-12
TRINITY_DN7436_c0_g1	Coiled-coil domain-containing protein 113 OS=Mus musculus OX=10090 GN=Ccdc113 PE=2 SV=1 E(blastx)=4e-09
TRINITY_DN8956_c0_g1	"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2 E(blastx)=7e-16"
TRINITY_DN6799_c0_g1	Ubiquitin carboxyl-terminal hydrolase 22 OS=Danio rerio OX=7955 GN=usp22 PE=2 SV=1 E(blastx)=6e-30
TRINITY_DN12547_c0_g1	Kinesin-like protein KIF14 OS=Mus musculus OX=10090 GN=Kif14 PE=1 SV=1 E(blastx)=2e-27
TRINITY_DN4300_c0_g1	Histone-lysine N-methyltransferase SETD5 OS=Homo sapiens OX=9606 GN=SETD5 PE=1 SV=2 E(blastx)=9e-33
TRINITY_DN3853_c0_g1	Cytochrome b OS=Acropora tenuis OX=70783 GN=MT-CYB PE=3 SV=1 E(blastx)=2e-58
TRINITY_DN4565_c0_g1	Coiled-coil domain-containing protein 173 OS=Mus musculus OX=10090 GN=Ccdc173 PE=2 SV=1 E(blastx)=8e-08
TRINITY_DN8873_c0_g1	Arginyl-tRNA--protein transferase 1 OS=Mus musculus OX=10090 GN=Ate1 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN9286_c0_g1	DNA topoisomerase 2 OS=Drosophila melanogaster OX=7227 GN=Top2 PE=1 SV=1 E(blastx)=3e-12
TRINITY_DN7229_c0_g1	Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2 E(blastx)=2e-28
TRINITY_DN10005_c0_g1	Ras-related protein Rab-14 OS=Pongo abelii OX=9601 GN=RAB14 PE=2 SV=3 E(blastx)=5e-49
TRINITY_DN788_c0_g1	"Trifunctional enzyme subunit beta, mitochondrial OS=Bos taurus OX=9913 GN=HADHB PE=2 SV=1 E(blastx)=7e-16"
TRINITY_DN2458_c0_g1	Adenosylhomocysteinase A OS=Xenopus laevis OX=8355 GN=ahcy-a PE=2 SV=1 E(blastx)=2e-39
TRINITY_DN11365_c0_g1	Dynein assembly factor with WDR repeat domains 1 OS=Homo sapiens OX=9606 GN=DAW1 PE=1 SV=1 E(blastx)=1e-39
TRINITY_DN7039_c0_g1	Exocyst complex component 6B OS=Mus musculus OX=10090 GN=Exoc6b PE=1 SV=1 E(blastx)=7e-14
TRINITY_DN3792_c0_g1	Adenylate kinase isoenzyme 5 OS=Homo sapiens OX=9606 GN=AK5 PE=1 SV=2 E(blastx)=1e-08
TRINITY_DN9763_c0_g1	Arf-GAP with dual PH domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Adap2 PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN5225_c0_g1	60S ribosomal protein L7a OS=Gallus gallus OX=9031 GN=RPL7A PE=2 SV=2 E(blastx)=6e-18
TRINITY_DN3710_c0_g1	Replication-associated protein A OS=Enterobacteria phage phiX174 (Isolate Sanger) OX=1217068 GN=A PE=1 SV=1 E(blastx)=2e-148
TRINITY_DN9765_c0_g1	Voltage-dependent L-type calcium channel subunit alpha-1S OS=Homo sapiens OX=9606 GN=CACNA1S PE=1 SV=4 E(blastx)=2e-42
TRINITY_DN11098_c0_g1	Ubinuclein-2 OS=Rattus norvegicus OX=10116 GN=Ubn2 PE=1 SV=1 E(blastx)=4e-17
TRINITY_DN12900_c0_g1	60S ribosomal protein L18a OS=Danio rerio OX=7955 GN=rpl18a PE=2 SV=1 E(blastx)=4e-50
TRINITY_DN13051_c0_g1	Probable U3 small nucleolar RNA-associated protein 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=utp7 PE=3 SV=1 E(blastx)=4e-26
TRINITY_DN12710_c0_g1	Sodium-driven chloride bicarbonate exchanger OS=Rattus norvegicus OX=10116 GN=Slc4a10 PE=1 SV=1 E(blastx)=3e-25
TRINITY_DN242_c0_g1	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3 E(blastx)=5e-14"
TRINITY_DN2390_c0_g1	Histone acetyltransferase KAT8 OS=Homo sapiens OX=9606 GN=KAT8 PE=1 SV=2 E(blastx)=2e-50
TRINITY_DN5546_c0_g1	Myosin-VIIa OS=Aedes aegypti OX=7159 GN=ck PE=3 SV=1 E(blastx)=8e-18
TRINITY_DN1467_c0_g1	Solute carrier family 15 member 1 OS=Rattus norvegicus OX=10116 GN=Slc15a1 PE=2 SV=1 E(blastx)=6e-20
TRINITY_DN4050_c0_g1	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2 E(blastx)=8e-05
TRINITY_DN862_c0_g1	Deleted in malignant brain tumors 1 protein OS=Rattus norvegicus OX=10116 GN=Dmbt1 PE=1 SV=1 E(blastx)=1e-05
TRINITY_DN10187_c0_g1	Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens OX=9606 GN=SCYL3 PE=1 SV=3 E(blastx)=1e-15
TRINITY_DN2215_c0_g1	Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2 E(blastx)=3e-31
TRINITY_DN12972_c0_g1	Disheveled-associated activator of morphogenesis 2 OS=Gallus gallus OX=9031 GN=DAAM2 PE=1 SV=2 E(blastx)=2e-18
TRINITY_DN5428_c0_g1	LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens OX=9606 PE=1 SV=1 E(blastx)=1e-05
TRINITY_DN4250_c0_g1	"Carnitine O-palmitoyltransferase 1, liver isoform OS=Rattus norvegicus OX=10116 GN=Cpt1a PE=1 SV=2 E(blastx)=2e-33"
TRINITY_DN13657_c0_g1	Coiled-coil domain-containing protein 148 OS=Mus musculus OX=10090 GN=Ccdc148 PE=2 SV=1 E(blastx)=3e-07
TRINITY_DN9915_c0_g1	Elongation factor 1-alpha OS=Desulfurococcus mobilis OX=2275 GN=tuf PE=3 SV=1 E(blastx)=5e-05
TRINITY_DN13125_c0_g1	Ankyrin repeat domain-containing protein 53 OS=Mus musculus OX=10090 GN=Ankrd53 PE=2 SV=2 E(blastx)=7e-28
TRINITY_DN6552_c0_g1	Catalase OS=Drosophila melanogaster OX=7227 GN=Cat PE=1 SV=2 E(blastx)=4e-39
TRINITY_DN11106_c0_g1	Rab-like protein 2A OS=Homo sapiens OX=9606 GN=RABL2A PE=1 SV=1 E(blastx)=2e-41
TRINITY_DN12319_c0_g1	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2 E(blastx)=2e-32
TRINITY_DN14369_c0_g1	Transcription elongation factor SPT6 OS=Danio rerio OX=7955 GN=supt6h PE=1 SV=1 E(blastx)=4e-29
TRINITY_DN6625_c0_g1	Low-density lipoprotein receptor-related protein 4 OS=Rattus norvegicus OX=10116 GN=Lrp4 PE=1 SV=2 E(blastx)=1e-08
TRINITY_DN6936_c0_g1	Src substrate protein p85 OS=Gallus gallus OX=9031 GN=CTTN1 PE=1 SV=1 E(blastx)=5e-06
TRINITY_DN9266_c0_g1	Transmembrane protein 258 OS=Canis lupus familiaris OX=9615 GN=TMEM258 PE=1 SV=1 E(blastx)=8e-27
TRINITY_DN3662_c0_g1	Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus OX=10090 GN=Eif4g2 PE=1 SV=2 E(blastx)=2e-23
TRINITY_DN13685_c0_g1	Transcriptional enhancer factor TEF-3 OS=Gallus gallus OX=9031 GN=TEAD4 PE=2 SV=1 E(blastx)=1e-45
TRINITY_DN13168_c0_g1	ATP synthase subunit a OS=Metridium senile OX=6116 GN=ATPASE6 PE=3 SV=1 E(blastx)=2e-33
TRINITY_DN5099_c0_g1	SET and MYND domain-containing protein 4 OS=Gallus gallus OX=9031 GN=SMYD4 PE=2 SV=1 E(blastx)=2e-17
TRINITY_DN10323_c0_g1	Solute carrier family 15 member 1 OS=Mus musculus OX=10090 GN=Slc15a1 PE=1 SV=2 E(blastx)=9e-21
TRINITY_DN4670_c0_g1	Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2 E(blastx)=5e-29
TRINITY_DN9619_c0_g1	Serine/threonine-protein kinase tricorner OS=Drosophila melanogaster OX=7227 GN=trc PE=1 SV=1 E(blastx)=5e-07
TRINITY_DN4757_c0_g1	Vacuolar protein sorting-associated protein 13 OS=Drosophila melanogaster OX=7227 GN=Vps13 PE=1 SV=2 E(blastx)=2e-34
TRINITY_DN2855_c0_g1	"Dynein heavy chain 5, axonemal OS=Homo sapiens OX=9606 GN=DNAH5 PE=1 SV=3 E(blastx)=1e-33"
TRINITY_DN13023_c0_g1	40S ribosomal protein S10 OS=Ictalurus punctatus OX=7998 GN=rps10 PE=2 SV=1 E(blastx)=3e-17
TRINITY_DN5106_c0_g1	"Actin, muscle (Fragment) OS=Lytechinus pictus OX=7653 PE=3 SV=1 E(blastx)=3e-47"
TRINITY_DN11772_c0_g1	PP2C-like domain-containing protein CG9801 OS=Drosophila melanogaster OX=7227 GN=CG9801 PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN276_c0_g1	Translocon-associated protein subunit beta OS=Canis lupus familiaris OX=9615 GN=SSR2 PE=1 SV=1 E(blastx)=5e-45
TRINITY_DN5190_c0_g1	Usher syndrome type-1G protein OS=Homo sapiens OX=9606 GN=USH1G PE=1 SV=1 E(blastx)=4e-34
TRINITY_DN5843_c0_g1	Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3 E(blastx)=6e-21
TRINITY_DN9968_c0_g1	Lysozyme 3 OS=Crassostrea virginica OX=6565 GN=lysoz3 PE=1 SV=1 E(blastx)=1e-06
TRINITY_DN11539_c0_g1	"All-trans-retinol 13,14-reductase OS=Danio rerio OX=7955 GN=retsat PE=1 SV=1 E(blastx)=5e-20"
TRINITY_DN4248_c0_g1	D-aminoacyl-tRNA deacylase 2 OS=Mus musculus OX=10090 GN=Dtd2 PE=1 SV=1 E(blastx)=1e-51
TRINITY_DN14049_c0_g1	Receptor-type tyrosine-protein phosphatase F OS=Danio rerio OX=7955 GN=ptprf PE=2 SV=1 E(blastx)=6e-06
TRINITY_DN8965_c0_g1	"N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA16 PE=1 SV=2 E(blastx)=6e-32"
TRINITY_DN12_c0_g1	Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAR1 PE=2 SV=1 E(blastx)=3e-16
TRINITY_DN9247_c0_g1	PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=3 E(blastx)=2e-05
TRINITY_DN4122_c0_g1	Protein LTV1 homolog OS=Bos taurus OX=9913 GN=LTV1 PE=2 SV=1 E(blastx)=8e-22
TRINITY_DN10585_c0_g1	KH homology domain-containing protein 4 OS=Mus musculus OX=10090 GN=Khdc4 PE=1 SV=1 E(blastx)=8e-13
TRINITY_DN11646_c0_g1	Junctophilin-3 OS=Homo sapiens OX=9606 GN=JPH3 PE=2 SV=2 E(blastx)=3e-12
TRINITY_DN5719_c0_g1	Replication-associated protein A OS=Enterobacteria phage phiX174 (Isolate Sanger) OX=1217068 GN=A PE=1 SV=1 E(blastx)=9e-94
TRINITY_DN2857_c0_g1	Inactive phospholipase C-like protein 1 OS=Mus musculus OX=10090 GN=Plcl1 PE=1 SV=3 E(blastx)=3e-10
TRINITY_DN1073_c0_g1	"Spectrin alpha chain, non-erythrocytic 1 OS=Gallus gallus OX=9031 GN=SPTAN1 PE=1 SV=3 E(blastx)=5e-40"
TRINITY_DN5525_c0_g1	Ribose-phosphate pyrophosphokinase 2 OS=Xenopus tropicalis OX=8364 GN=prps2 PE=2 SV=1 E(blastx)=2e-34
TRINITY_DN7701_c0_g1	Translocation protein SEC63 homolog OS=Mus musculus OX=10090 GN=Sec63 PE=1 SV=4 E(blastx)=1e-09
TRINITY_DN14637_c0_g1	CCR4-NOT transcription complex subunit 6-like OS=Danio rerio OX=7955 GN=cnot6l PE=2 SV=1 E(blastx)=5e-05
TRINITY_DN3651_c0_g1	Transcription factor HES-1 OS=Gallus gallus OX=9031 GN=HES1 PE=2 SV=1 E(blastx)=7e-06
TRINITY_DN9376_c0_g1	CD2-associated protein OS=Mus musculus OX=10090 GN=Cd2ap PE=1 SV=3 E(blastx)=1e-16
TRINITY_DN8197_c0_g1	WD repeat-containing protein 43 OS=Mus musculus OX=10090 GN=Wdr43 PE=1 SV=2 E(blastx)=7e-19
TRINITY_DN12884_c0_g1	Proliferation-associated protein 2G4 OS=Rattus norvegicus OX=10116 GN=Pa2g4 PE=1 SV=1 E(blastx)=3e-26
TRINITY_DN7969_c0_g1	BTB/POZ domain-containing protein 2 OS=Homo sapiens OX=9606 GN=BTBD2 PE=1 SV=1 E(blastx)=2e-32
TRINITY_DN4925_c0_g1	Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4 E(blastx)=2e-11
TRINITY_DN14050_c0_g1	Sperm flagellar protein 2 OS=Rattus norvegicus OX=10116 GN=Spef2 PE=1 SV=2 E(blastx)=9e-16
TRINITY_DN10554_c0_g1	Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3 E(blastx)=5e-13
TRINITY_DN13722_c0_g1	Heat shock protein HSP 90-alpha OS=Oryctolagus cuniculus OX=9986 GN=HSP90AA1 PE=1 SV=2 E(blastx)=4e-08
TRINITY_DN2781_c0_g1	AP-2 complex subunit sigma OS=Rattus norvegicus OX=10116 GN=Ap2s1 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN13563_c0_g1	Gelsolin-like protein 2 OS=Lumbricus terrestris OX=6398 GN=gelsolin PE=1 SV=1 E(blastx)=3e-05
TRINITY_DN7704_c0_g1	Cytochrome c oxidase subunit 1 OS=Metridium senile OX=6116 GN=COI PE=3 SV=1 E(blastx)=1e-124
TRINITY_DN13273_c0_g1	Protein wech OS=Drosophila melanogaster OX=7227 GN=wech PE=1 SV=2 E(blastx)=4e-09
TRINITY_DN5485_c0_g1	E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1 E(blastx)=5e-14
TRINITY_DN11524_c0_g1	Immunoglobulin superfamily member 10 OS=Homo sapiens OX=9606 GN=IGSF10 PE=1 SV=1 E(blastx)=9e-08
TRINITY_DN12919_c0_g1	MORN repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=MORN1 PE=2 SV=2 E(blastx)=4e-06
TRINITY_DN9732_c0_g1	Phosphatidylinositide phosphatase SAC1 OS=Mus musculus OX=10090 GN=Sacm1l PE=1 SV=1 E(blastx)=2e-12
TRINITY_DN14170_c0_g1	Ubiquitin-conjugating enzyme E2-22 kDa OS=Drosophila melanogaster OX=7227 GN=Ubc4 PE=1 SV=2 E(blastx)=6e-08
TRINITY_DN9191_c0_g1	Spectrin beta chain OS=Drosophila melanogaster OX=7227 GN=beta-Spec PE=1 SV=2 E(blastx)=8e-15
TRINITY_DN11021_c0_g1	Transducin beta-like protein 2 OS=Mus musculus OX=10090 GN=Tbl2 PE=1 SV=2 E(blastx)=1e-07
TRINITY_DN10337_c0_g1	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Pan troglodytes OX=9598 GN=NDUFS3 PE=2 SV=1 E(blastx)=2e-42"
TRINITY_DN12064_c0_g1	Heat shock protein 90 OS=Eimeria tenella OX=5802 GN=HSP90 PE=2 SV=1 E(blastx)=2e-23
TRINITY_DN8558_c0_g1	Adiponectin receptor protein OS=Drosophila melanogaster OX=7227 GN=AdipoR PE=1 SV=2 E(blastx)=5e-09
TRINITY_DN13377_c0_g1	CXXC-type zinc finger protein 1 OS=Bos taurus OX=9913 GN=CXXC1 PE=2 SV=1 E(blastx)=2e-21
TRINITY_DN10965_c0_g1	Cysteine-rich protein 1 OS=Rattus norvegicus OX=10116 GN=Crip1 PE=1 SV=2 E(blastx)=2e-25
TRINITY_DN2669_c0_g1	DNA-directed RNA polymerase I subunit RPA49 OS=Mus musculus OX=10090 GN=Polr1e PE=1 SV=2 E(blastx)=3e-06
TRINITY_DN2367_c0_g1	E3 ubiquitin-protein ligase HUWE1 (Fragment) OS=Rattus norvegicus OX=10116 GN=Huwe1 PE=1 SV=2 E(blastx)=2e-39
TRINITY_DN7680_c0_g1	WD repeat domain phosphoinositide-interacting protein 3 OS=Mus musculus OX=10090 GN=Wdr45b PE=1 SV=2 E(blastx)=3e-19
TRINITY_DN5414_c0_g1	"Peroxiredoxin-5, mitochondrial OS=Bos taurus OX=9913 GN=PRDX5 PE=2 SV=2 E(blastx)=5e-10"
TRINITY_DN2777_c0_g1	Protein KIAA0556 homolog OS=Xenopus laevis OX=8355 PE=2 SV=1 E(blastx)=2e-15
TRINITY_DN3461_c0_g1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Dictyostelium discoideum OX=44689 GN=ndufb7 PE=3 SV=1 E(blastx)=8e-06
TRINITY_DN6742_c0_g1	"ATP synthase subunit alpha, mitochondrial OS=Bos taurus OX=9913 GN=ATP5F1A PE=1 SV=1 E(blastx)=3e-34"
TRINITY_DN12487_c0_g1	Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=3 E(blastx)=2e-23
TRINITY_DN7778_c0_g1	60S ribosomal protein L27 OS=Rattus norvegicus OX=10116 GN=Rpl27 PE=2 SV=2 E(blastx)=2e-24
TRINITY_DN5903_c0_g1	Very low-density lipoprotein receptor OS=Homo sapiens OX=9606 GN=VLDLR PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN4085_c0_g1	Bromodomain adjacent to zinc finger domain protein 2B OS=Homo sapiens OX=9606 GN=BAZ2B PE=1 SV=3 E(blastx)=2e-18
TRINITY_DN11177_c0_g1	Transcription initiation factor IIB OS=Xenopus laevis OX=8355 GN=gtf2b PE=2 SV=1 E(blastx)=1e-30
TRINITY_DN10653_c0_g1	Striated muscle preferentially expressed protein kinase OS=Homo sapiens OX=9606 GN=SPEG PE=1 SV=4 E(blastx)=6e-14
TRINITY_DN4474_c0_g1	Ras-related protein Rab-34 OS=Rattus norvegicus OX=10116 GN=Rab34 PE=2 SV=1 E(blastx)=5e-23
TRINITY_DN10943_c0_g1	Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2 E(blastx)=4e-24
TRINITY_DN5294_c0_g1	Synapse-associated protein 1 OS=Homo sapiens OX=9606 GN=SYAP1 PE=1 SV=1 E(blastx)=4e-07
TRINITY_DN551_c0_g1	60S ribosomal protein L31 OS=Pongo abelii OX=9601 GN=RPL31 PE=2 SV=1 E(blastx)=6e-09
TRINITY_DN711_c0_g1	RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2 E(blastx)=2e-22
TRINITY_DN3491_c0_g1	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Homo sapiens OX=9606 GN=PTPMT1 PE=1 SV=1 E(blastx)=2e-15
TRINITY_DN4363_c0_g1	Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Oryctolagus cuniculus OX=9986 GN=CAMK2D PE=2 SV=2 E(blastx)=1e-30
TRINITY_DN4212_c0_g1	CD151 antigen OS=Bos taurus OX=9913 GN=CD151 PE=2 SV=1 E(blastx)=3e-14
TRINITY_DN9597_c0_g1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Bos taurus OX=9913 GN=NDUFA12 PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN6320_c0_g1	"Dynein heavy chain 12, axonemal OS=Mus musculus OX=10090 GN=Dnah12 PE=1 SV=2 E(blastx)=2e-09"
TRINITY_DN5556_c0_g1	Leucine-rich repeat-containing protein 34 OS=Homo sapiens OX=9606 GN=LRRC34 PE=2 SV=3 E(blastx)=2e-11
TRINITY_DN14578_c0_g1	AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2 E(blastx)=1e-37
TRINITY_DN6171_c0_g1	40S ribosomal protein S11 OS=Rattus norvegicus OX=10116 GN=Rps11 PE=1 SV=3 E(blastx)=7e-69
